# stand: 2026-08
# Die Tabelle der Juristinnen (DESIGN.md §8). Ein Datensatz pro Aufgabe.
# `npm run import:content` validiert sie und erzeugt catalog.de.json.
#
# frist_tage bleibt leer, wo es keine gesetzliche Tagesfrist gibt. Erfunden
# wird nichts: Eine Frist in Monaten oder in Werktagen lässt sich nicht in
# Tage umrechnen und steht deshalb im hinweis statt in der Spalte.
id,titel,kurzbeschreibung,frist_tage,frist_ab,rechtsgrundlage,zustaendige_stelle,benoetigte_dokumente,subtasks,depends_on,hinweis,quelle_url,kategorie,reihenfolge
todesbescheinigung,Ärztliche Todesbescheinigung ausstellen lassen,"Eine Ärztin oder ein Arzt stellt die Todesbescheinigung aus. Ohne sie beurkundet das Standesamt den Sterbefall nicht.",,,,Ärztin oder Arzt,Personalausweis der verstorbenen Person,,,"Die Leichenschau regeln die Bestattungsgesetze der Länder. Wie schnell sie zu veranlassen ist, steht dort und unterscheidet sich je nach Bundesland.",,Sofort,10
sterbefall-anzeigen,Sterbefall beim Standesamt anzeigen,"Das Standesamt des Sterbeortes beurkundet den Sterbefall und stellt die Sterbeurkunden aus.",3,sterbedatum,§ 28 PStG,Standesamt des Sterbeortes,Todesbescheinigung;Personalausweis;Geburtsurkunde oder Eheurkunde,Sterbeurkunden in ausreichender Zahl bestellen,todesbescheinigung,"§ 28 PStG nennt den dritten auf den Tod folgenden Werktag. Wochenenden und Feiertage zählen nicht mit, die angezeigte Frist ist deshalb die knappere.",https://www.gesetze-im-internet.de/pstg/__28.html,Sofort,20
bestattung-beauftragen,Bestattungsunternehmen beauftragen,"Das Bestattungsunternehmen übernimmt Überführung, Bestattung und meist auch den Gang zum Standesamt.",,,,Bestattungsunternehmen,Todesbescheinigung;Sterbeurkunde,,todesbescheinigung,"Die Bestattungsfristen stehen in den Bestattungsgesetzen der Länder und unterscheiden sich.",,Sofort,30
testament-abliefern,Testament beim Nachlassgericht abliefern,"Wer ein Testament der verstorbenen Person besitzt, muss es beim Nachlassgericht abliefern.",,,§ 2259 BGB,Nachlassgericht (Amtsgericht),Testament;Sterbeurkunde,,,"Das Gesetz verlangt die Ablieferung unverzüglich, nennt aber keine Zahl von Tagen.",https://www.gesetze-im-internet.de/bgb/__2259.html,Erbe,40
erbausschlagung-pruefen,Ausschlagung der Erbschaft prüfen,"Wer erbt, haftet auch für die Schulden. Ausschlagen lässt sich die Erbschaft nur innerhalb der Frist.",42,kenntnis,§ 1944 BGB,Nachlassgericht (Amtsgericht),Sterbeurkunde;Personalausweis,,,"Sechs Wochen ab Ihrer Kenntnis von Anfall und Berufungsgrund, nicht ab dem Sterbetag. Wer erst spät erfährt, hat auch später Frist.",https://www.gesetze-im-internet.de/bgb/__1944.html,Erbe,50
erbschein-pruefen,Erbschein beantragen oder Notwendigkeit prüfen,"Banken und Grundbuchamt verlangen oft einen Erbschein. Ein notarielles Testament ersetzt ihn häufig.",,,§ 2353 BGB,Nachlassgericht (Amtsgericht),Sterbeurkunde;Testament oder Erbvertrag,,erbausschlagung-pruefen,"Ein Erbschein kostet Gebühren nach dem Nachlasswert. Vor dem Antrag lohnt die Frage, ob er überhaupt gebraucht wird.",https://www.gesetze-im-internet.de/bgb/__2353.html,Erbe,60
rentenzahlung-melden,Rentenzahlung melden,"Renten, die nach dem Sterbemonat weiterlaufen, werden zurückgefordert. Die Meldung stoppt sie.",,,§ 118 Abs. 3 SGB VI,Deutsche Post Rentenservice,Sterbeurkunde;Rentenversicherungsnummer,,sterbefall-anzeigen,"Zu viel gezahlte Beträge holt sich der Rentenservice auch von der Bank zurück, auf die sie überwiesen wurden.",https://www.gesetze-im-internet.de/sgb_6/__118.html,Behörden,70
krankenkasse-melden,Krankenkasse benachrichtigen,"Die Krankenkasse beendet die Mitgliedschaft und rechnet offene Beiträge ab.",,,,Krankenkasse,Sterbeurkunde;Versichertennummer,,sterbefall-anzeigen,,,Behörden,80
lebensversicherung-melden,Lebensversicherung melden,"Eine Lebensversicherung zahlt nur, wenn sie vom Todesfall erfährt.",,,,Versicherungsunternehmen,Versicherungsschein;Sterbeurkunde,,sterbefall-anzeigen,"Versicherungsbedingungen setzen oft sehr kurze Meldefristen, häufig 48 bis 72 Stunden. Das ist eine vertragliche Frist und keine gesetzliche; sie steht in der Police.",,Versicherungen,90
erbschaftsteuer-anzeigen,Erwerb beim Finanzamt anzeigen,"Jeder Erwerb von Todes wegen ist dem Finanzamt anzuzeigen, auch wenn am Ende keine Steuer anfällt.",,,§ 30 Abs. 1 ErbStG,Erbschaftsteuerfinanzamt,Sterbeurkunde;Aufstellung des Nachlasses,,erbausschlagung-pruefen,"Das Gesetz nennt drei Monate ab Kenntnis vom Anfall. Monate lassen sich nicht verlustfrei in Tage umrechnen, deshalb steht hier keine Tagesfrist.",https://www.gesetze-im-internet.de/erbstg_1974/__30.html,Behörden,100
